Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-08-02,58.54626030239088,58.7141500508036,57.29785002636941,57.59918975830078,3313510,0.0,0.0
2005-08-03,57.779988738970815,59.321133602646526,57.68528103565404,58.266441345214844,5647190,0.0,0.0
2005-08-04,63.71209505969654,63.71209505969654,58.28795460956178,58.933685302734375,2040050,0.0,0.0
2005-08-05,59.140330903254885,59.40723085292476,57.779989837667785,58.04258728027344,2274820,0.0,0.0
2005-08-08,65.86453257823884,65.86453257823884,56.06233853764969,56.630584716796875,4116300,0.0,0.0
2005-08-09,55.532835605613364,57.22034424042224,55.532835605613364,56.33354187011719,2212010,0.0,0.0
2005-08-10,58.1157608785457,58.1157608785457,56.41533807769364,56.8458251953125,3210230,0.0,0.0
2005-08-11,57.47003750364218,57.857473331237735,56.39381957286236,56.923316955566406,6549010,0.0,0.0
2005-08-12,56.04941988883376,57.68527220541631,56.04941988883376,56.841514587402344,4642600,0.0,0.0
2005-08-16,57.51309163630061,57.51309163630061,55.360655670401826,55.72226333618164,4272330,0.0,0.0
2005-08-17,55.877230641176624,57.51308304462825,55.877230641176624,56.488521575927734,4856400,0.0,0.0
2005-08-18,57.52169181051486,57.52169181051486,56.49713684368348,57.08259963989258,1528300,0.0,0.0
2005-08-19,56.65211399012381,57.16869727847216,56.40673315114842,56.72529602050781,1638560,0.0,0.0
2005-08-22,57.934973308620016,57.934973308620016,56.22163593972284,56.61768341064453,1169850,0.0,0.0
2005-08-23,55.96332073922551,57.160074303382785,54.23276411225216,55.8427848815918,2595850,0.0,0.0
2005-08-24,55.53284705312897,56.65211636540598,54.18542334188266,56.10109329223633,5964550,0.0,0.0
2005-08-25,55.954723563642716,56.13552739664047,54.96029919779841,55.91598129272461,4961030,0.0,0.0
2005-08-26,56.73820975836545,57.16008534155173,54.27151685355447,54.64604187011719,3652370,0.0,0.0
2005-08-29,55.36064576704035,55.705030205007255,54.09070680372308,54.9990348815918,4512480,0.0,0.0
2005-08-30,54.67186381283749,55.95902265631703,54.67186381283749,55.670597076416016,2545750,0.0,0.0
2005-08-31,55.87723095881029,55.95902456475467,54.41787984639099,55.123878479003906,1528680,0.0,0.0
2005-09-01,55.93319528510802,55.93319528510802,54.17681011380258,54.400665283203125,1430740,0.0,0.0
2005-09-02,54.327479583844934,55.141100073049195,54.327479583844934,54.78379821777344,4167480,0.0,0.0
2005-09-05,54.76657942949311,55.446749960454554,54.76657942949311,55.11957550048828,1004510,0.0,0.0
2005-09-06,55.1884565938487,55.446751536034114,54.719227131968,55.317604064941406,1043400,0.0,0.0
2005-09-08,55.44676158672829,56.56602454542015,55.10237045762525,56.46701431274414,1936610,0.0,0.0
2005-09-09,56.56600389900173,58.54624724202564,56.14412836840886,58.2061653137207,4179730,0.0,0.0
2005-09-12,58.2018627883092,58.54195132359768,56.9104013067548,58.31809616088867,2706250,0.0,0.0
2005-09-13,58.11576000927184,59.40722134281121,57.3451909704933,59.17045211791992,4171800,0.0,0.0
2005-09-14,58.80455384229968,59.57942554330752,58.2190909905896,59.23073196411133,4547620,0.0,0.0
2005-09-15,59.2350268007355,59.665513895017845,59.075742109127034,59.60093688964844,4480850,0.0,0.0
2005-09-16,60.096014548448586,60.096014548448586,59.088669528324985,59.609561920166016,3991430,0.0,0.0
2005-09-19,60.00991049714185,61.54675288868167,60.00991049714185,60.99142074584961,4028320,0.0,0.0
2005-09-20,60.526497805449466,63.71210018733088,60.526497805449466,63.0534553527832,6700420,0.0,0.0
2005-09-21,62.87695506271908,63.32896790541825,61.223885904740385,62.386199951171875,6361490,0.0,0.0
2005-09-22,61.99016163221841,62.02890390674722,58.93369964647764,59.56221389770508,5076680,0.0,0.0
2005-09-23,59.570811295501926,59.570811295501926,56.91039740993544,57.680973052978516,6372410,0.0,0.0
2005-09-26,57.685283984898476,58.55056087993517,57.289236554740285,58.477378845214844,3902840,0.0,0.0
2005-09-27,58.54624565007084,59.923803057506596,58.132975143484174,58.73996353149414,4250620,0.0,0.0
2005-09-28,59.4072257931419,60.60828203307408,58.80454641982691,59.92380905151367,7780110,0.0,0.0
2005-09-29,60.08739626800453,60.87087945331401,58.559165595090626,59.92380905151367,16469590,0.0,0.0
2005-09-30,60.24237374316202,60.24237374316202,54.435099636126274,58.989654541015625,4075590,0.0,0.0
2005-10-03,58.989662337352975,59.82050607509601,58.055505872351986,58.257835388183594,5109750,0.0,0.0
2005-10-04,59.40722649522542,61.55966223780605,59.40722649522542,61.12056350708008,8457230,0.0,0.0
2005-10-05,60.362907002355165,61.51660937895514,60.02281848493227,60.49635696411133,2873780,0.0,0.0
2005-10-06,59.82050678261777,59.82480929006654,57.68528728828025,58.72276306152344,4316510,0.0,0.0
2005-10-07,58.46015568824519,58.83897990966176,57.25479036678097,58.42141342163086,3656610,0.0,0.0
2005-10-10,59.6224703553807,59.6224703553807,58.54625247892979,59.256553649902344,2104830,0.0,0.0
2005-10-11,60.087405642301114,60.087405642301114,57.801519605066055,59.390018463134766,2347010,0.0,0.0
2005-10-13,58.67540693833619,59.22643003132392,58.120074769352456,58.365455627441406,3000710,0.0,0.0
2005-10-14,57.85747464168682,57.85747464168682,56.39382085016027,56.77265167236328,3950090,0.0,0.0
2005-10-17,57.25479378717348,57.25479378717348,55.188454051036665,56.3421630859375,4652410,0.0,0.0
2005-10-18,56.738206502055434,57.66375122779406,56.393815475485546,56.630584716796875,4596650,0.0,0.0
2005-10-19,55.40369266383619,56.824301515465294,54.413574229256184,55.7609977722168,2906310,0.0,0.0
2005-10-20,56.049424188933784,56.221622985776236,55.110965378814115,55.438133239746094,3591160,0.0,0.0
2005-10-21,56.824301515465294,56.824301515465294,55.274545210285844,55.7609977722168,3567600,0.0,0.0
2005-10-24,56.19578979516388,56.19578979516388,54.0907111741088,54.71491622924805,2699890,0.0,0.0
2005-10-25,55.48979219363604,55.48979219363604,53.57412564893027,54.29734420776367,5315760,0.0,0.0
2005-10-26,55.10235454793838,55.10235454793838,53.98308862805464,54.2499885559082,3822810,0.0,0.0
2005-10-27,54.327477961628645,54.49106518346332,53.39762740931327,53.77645492553711,7342250,0.0,0.0
2005-10-28,53.5525991465521,53.5525991465521,51.91674675354287,52.60122299194336,3985800,0.0,0.0
2005-10-31,52.71745206851852,53.896985852047905,52.002845160607215,52.23100280761719,4374050,0.0,0.0
2005-11-02,52.99297058669052,55.94611615435471,52.99297058669052,53.440677642822266,5710750,0.0,0.0
2005-11-04,53.440677642822266,53.440677642822266,53.440677642822266,53.440677642822266,0,0.0,0.0
2005-11-07,53.81089467750755,54.67186899234767,53.04462806279686,53.832420349121094,49846460,0.0,0.0
2005-11-08,54.667570687121625,55.188459824805705,54.095025185461594,54.93016815185547,6597930,0.0,0.0
2005-11-09,55.36065748647954,55.786835617731555,53.7204989932976,54.404972076416016,8313280,0.0,0.0
2005-11-10,54.32748547162814,54.67187655897067,53.729108502747,54.314571380615234,6702940,0.0,0.0
2005-11-11,54.31455434100601,55.10234648921438,54.00460311650725,54.68907928466797,7812620,0.0,0.0
2005-11-14,55.7050348731218,58.71844493884241,55.274547720875994,58.180335998535156,9195790,0.0,0.0
2005-11-16,58.115787046185396,60.268223603451524,57.861801108919614,59.40294647216797,5788800,0.0,0.0
2005-11-17,59.83772010314011,60.2725098053398,59.428758581645475,60.16919708251953,4084810,0.0,0.0
2005-11-18,60.268207564048296,60.87088701220345,59.93242807597424,60.212242126464844,1776360,0.0,0.0
2005-11-21,60.212229723909964,60.212229723909964,58.20185571679583,58.516109466552734,3926300,0.0,0.0
2005-11-22,58.80454740431709,59.57081400695157,58.04258330845243,58.33100891113281,4206910,0.0,0.0
2005-11-23,58.46015859435404,59.83771621505887,58.20186366666,59.36417770385742,2377350,0.0,0.0
2005-11-24,60.61259556618448,60.61259556618448,59.06283910838117,59.50193786621094,3985740,0.0,0.0
2005-11-25,59.66552986988658,60.16489004073202,59.514856719061775,60.065879821777344,2794980,0.0,0.0
2005-11-28,60.18211048767014,60.61259767775546,59.57942448032276,59.897987365722656,2386120,0.0,0.0
2005-11-29,59.992693608421376,59.992693608421376,58.56778209501982,58.96813201904297,2149530,0.0,0.0
2005-11-30,59.06285158878126,60.440409526409205,58.63667339936561,59.140342712402344,3853140,0.0,0.0
2005-12-01,59.15753690758664,60.27680600290115,58.244906351190195,59.988380432128906,2366510,0.0,0.0
2005-12-02,60.268200997139004,61.464954748585185,59.83771384715944,60.15627670288086,3365890,0.0,0.0
2005-12-05,60.26820197229955,60.354298089946006,58.97674050146456,59.183372497558594,1522480,0.0,0.0
2005-12-06,58.71844656911762,59.74300812189689,58.29226848053784,58.628047943115234,1500580,0.0,0.0
2005-12-07,58.63666103878419,60.078789134834444,58.6323519630548,59.75162124633789,1940730,0.0,0.0
2005-12-08,59.75161781429733,59.96686138958752,59.11449867067793,59.256553649902344,3536920,0.0,0.0
2005-12-09,59.40723865388211,59.82050929127368,58.54626418063744,59.23504638671875,1779000,0.0,0.0
2005-12-12,59.66552123048075,60.35429672478562,58.89494555849981,59.196285247802734,3300290,0.0,0.0
2005-12-13,59.75162370748593,60.61259809356293,59.00257362686217,59.82050323486328,5720980,0.0,0.0
2005-12-14,60.009917108864,62.24845595514795,59.949649159538744,61.869625091552734,8296790,0.0,0.0
2005-12-15,62.33454906373788,63.19552348017428,60.345693695044616,60.60398864746094,2995360,0.0,0.0
2005-12-16,60.39735413914419,61.10335286879523,59.24364505290671,60.34138870239258,5086380,0.0,0.0
2005-12-19,60.870875698474265,61.55535520652485,60.00990146472661,61.266929626464844,3162330,0.0,0.0
2005-12-20,61.34441998394139,63.798195469556504,61.21527252286423,63.32035446166992,6459050,0.0,0.0
2005-12-21,64.09094194537465,64.4008932815061,62.0934814284798,62.588539123535156,4262860,0.0,0.0
2005-12-22,62.85109845193651,64.3147515418264,62.420611476238314,63.897178649902344,2900660,0.0,0.0
2005-12-23,63.79819636225252,64.44392710796097,61.559664424205785,62.0159797668457,2344310,0.0,0.0
2005-12-26,61.81796191512118,62.40342474493924,60.26820543362836,60.99142074584961,2397350,0.0,0.0
2005-12-27,60.440397678810626,61.55105539576164,60.2768170165014,60.99142074584961,2355530,0.0,0.0
2005-12-28,61.81795563045768,62.592827223714416,60.298336559154585,60.49635696411133,3255850,0.0,0.0
2005-12-29,61.12916939762177,61.344412951838756,60.61258618124342,60.82352066040039,2372540,0.0,0.0
2005-12-30,61.38746974169978,61.38746974169978,60.54801455073591,61.02155303955078,2127100,0.0,0.0
2006-01-02,61.021557129508395,61.985850767402745,60.87088399059231,61.42621612548828,2685520,0.0,0.0
2006-01-03,58.5462462374454,61.81795086055212,58.5462462374454,61.413291931152344,1282790,0.0,0.0
2006-01-04,61.99014291214102,63.285906729109904,61.47355970161556,63.027618408203125,5369920,0.0,0.0
2006-01-05,63.02331379359327,63.970390743415436,62.44216010388862,63.669044494628906,3853500,0.0,0.0
